Interval_ID,MEAN_RR,MEDIAN_RR,SDRR,RMSSD,SDSD,SDRR_RMSSD,HR
663,721.3571428571429,722.5,67.80533109697252,23.42123431562628,23.367177136728273,2.895036622887713,83.17655213387464
664,874.1014492753624,891.0,64.6137116797204,35.82145265882213,35.79911995593435,1.8037713962950435,68.64191799446222
665,899.955223880597,906.0,47.21100075315134,27.698047190764516,27.697781965411767,1.7044884221618741,66.6699835812727
666,931.4923076923077,930.0,25.178209795787904,20.653011281650915,20.649884372784634,1.2191059914908091,64.41277024460337
667,910.2727272727273,922.0,56.52581750029923,32.45896818114549,32.45091331762373,1.7414545399238388,65.91431139518626
668,922.1060606060606,914.5,35.18786326057341,22.363431689324358,22.36309301045101,1.5734554405338004,65.0684368786868
669,900.3134328358209,914.0,67.65633282847755,40.03426562636592,40.03151020132867,1.6899606317224456,66.64345750236237
670,915.7121212121212,914.0,42.30114446174224,25.80339870279465,25.802224572687688,1.6393632850063582,65.52277578304681
671,909.4029850746268,922.0,64.2523150640452,33.751318717222226,33.749359753135415,1.9036979148094528,65.97735105859184
672,918.9090909090909,922.0,26.15902838104314,20.696339327003255,20.69597336704576,1.2639446989986542,65.29481598733676
673,904.1492537313433,922.0,62.653811626934406,27.08320512790168,27.082997455005643,2.313382457174064,66.36072501568226
674,901.2388059701492,899.0,34.854105114755306,18.22294590827064,18.21689167592581,1.9126493208179076,66.57502939569085
675,931.9692307692308,937.0,70.03646725501031,45.04563658113847,45.04502684380791,1.5547891554125803,64.37980785103503
676,918.560606060606,922.0,69.40725854711906,44.59113399286041,44.58688745073352,1.5565259802146323,65.31958762886599
677,926.9230769230769,937.0,61.78431657911196,38.228547905982516,38.16501166296658,1.616182668801896,64.73029045643153
678,941.40625,953.0,41.20213842675523,26.940263134902334,26.911798489866555,1.5293888638146222,63.7344398340249
679,926.5692307692308,929.0,20.618863081966946,20.213702035995286,20.212155995835772,1.0200438813855164,64.755010211367
680,914.8939393939394,921.5,49.64087049876457,31.583345172854827,31.583345172854827,1.5717420123511736,65.58137224053128
681,907.0597014925373,914.0,31.02857642778305,21.37897579540718,21.37897579540718,1.4513593506405897,66.1477958962039
682,900.4179104477612,914.0,65.59421826853826,34.70874485914133,34.70683993526364,1.8898470265847869,66.6357247049463
683,903.4477611940298,930.0,70.29750926185496,27.55022960911853,27.46727328892285,2.5516124641875217,66.41225157357387
684,921.1666666666666,930.0,45.35602707379904,26.601619383905067,26.597343818976587,1.7050100003025028,65.13479283517279
685,916.7878787878788,921.0,36.702536924749225,21.84737266372532,21.800472281947844,1.6799519781931924,65.44589145236993
686,916.4242424242424,930.0,74.08922970148504,37.521891046325315,37.46605880166978,1.974560120384469,65.47186032669798
687,867.5285714285715,882.5,58.19222368976102,25.78309748540755,25.741513142097542,2.2569911827970266,69.16198725443377
688,912.7575757575758,907.0,30.345016367856402,23.942559467319985,23.937808968760113,1.2674090424323827,65.734869360247
689,887.9852941176471,899.0,55.84866438106456,27.641359881876344,27.373915579925296,2.020474557682053,67.5686865508504
690,728.8192771084338,742.0,93.0895597498301,51.26759067538221,51.224662923362764,1.8157584260055752,82.32493552866494
691,848.9295774647887,844.0,65.80858369965014,31.07709307972215,30.987571570497984,2.1175913567858875,70.67724060125427
692,883.6029411764706,886.5,57.19012144898348,36.712477036414384,36.70329822632534,1.5577843301681258,67.90380294582674
693,864.0714285714286,860.0,53.06312182636057,28.970749866478897,28.926853699362805,1.8316102300050634,69.4387038108622
694,894.8676470588235,910.0,62.16271447527252,28.76409453343453,28.605652576419036,2.161121894625135,67.04902138009236
695,895.8805970149253,906.0,62.681026762980544,30.15038066999245,30.14458958074791,2.0789464467811722,66.97321071571372
696,911.3333333333334,922.0,38.62183921884695,26.113362332485877,26.110751826532027,1.479006752447199,65.83760058522311
697,895.1029411764706,906.0,49.6375509260652,27.548600202811183,27.542761261868225,1.801817535578449,67.03139632313076
698,897.3880597014926,906.0,40.193544897895265,22.645489215695516,22.6373777712871,1.7749029184159664,66.86070686070686
699,903.5820895522388,906.0,47.144157851364454,28.685071611089512,28.68122588192476,1.643508459401536,66.40237859266601
700,904.3731343283582,906.0,21.44053617959502,18.80562456159101,18.799757974723306,1.140112954471377,66.34429719604574
701,894.5294117647059,898.0,65.30414602373476,30.467256708527,30.466434133675108,2.143420612117592,67.07437364371671
702,897.1641791044776,898.0,19.093326969752855,19.351611004896945,19.351231384759984,0.98665309905833,66.87739144901015
703,903.4477611940298,906.0,21.723694734050092,18.802401522951875,18.7582427550673,1.155368089950224,66.41225157357387
704,895.2205882352941,894.5,22.927536480523674,19.403030998797547,19.39088026545906,1.1816471602784404,67.02258726899383
705,892.1176470588235,906.0,57.65861228762149,33.6287900821314,33.62857810427338,1.7145610099799067,67.25570354740867
706,915.0151515151515,914.0,24.705840570811922,23.31885998005114,23.31861130376538,1.0594789192931096,65.57268467155703
707,875.0,907.0,84.43143174592426,24.138997006308863,23.877403681606477,3.4977191357146125,68.57142857142857
708,844.1805555555555,902.5,122.81584298688932,24.59588881254087,24.254371744092953,4.993348438145012,71.07484246721837
709,927.6461538461539,922.0,87.80510424434873,76.76068736664621,76.75587664543592,1.1438811617846651,64.67983481765262
710,940.1875,945.0,42.23145857947603,29.109535883711363,29.024589708730446,1.4507774616601572,63.8170577677325
711,842.0138888888889,839.5,80.15722277283764,47.36671440793437,47.362283262299435,1.6922690073561564,71.25773195876289
712,899.4776119402985,914.0,55.85064256473856,25.052974177760117,25.02436370212141,2.2293018852156075,66.70538455156392
713,882.8235294117648,887.0,30.675215698206394,20.658560438786267,20.632124521321366,1.484867050107419,67.9637526652452
714,887.9705882352941,898.0,45.177418418365804,24.790766215513365,24.751876288825688,1.822348612609442,67.56980557119671
715,875.6811594202899,891.0,63.488557169062894,28.887204576339577,28.88696500854398,2.1978089642174647,68.51808943762205
716,898.7910447761194,907.0,46.44513287272585,29.471352294399487,29.470475957609576,1.5759416944553282,66.75633936133114
717,867.0714285714286,886.5,52.841088295424974,27.495981261036064,27.44972682242027,1.921774960266826,69.19845127275723
718,862.6142857142858,886.5,70.59852140441609,30.105129805063292,30.051443675150157,2.345066168508675,69.55600086116954
719,890.6323529411765,899.0,38.70396864123,25.659655306487675,25.65937749390886,1.5083588683844968,67.3678648679887
720,847.7042253521126,867.0,65.60324501725725,26.165134926353538,26.0784100241513,2.507277153429911,70.77940419027365
721,873.072463768116,875.0,34.96471050768716,24.796524898840634,24.758780030149197,1.4100649445972142,68.72281796753096
722,839.4166666666666,886.5,94.8105933485869,22.320015649446784,22.319015762133404,4.247783462057601,71.47820907376155
723,879.5217391304348,883.0,25.137078505984046,22.523190663115624,22.446842242141734,1.1160531774545146,68.21889366750705
724,836.1527777777778,859.5,68.2946353274265,20.808652046684813,20.808647280077135,3.2820307232878667,71.75722140092687
725,875.6811594202899,883.0,45.97179121006208,23.030031544511104,23.00144797608489,1.99616709691476,68.51808943762205
726,876.7101449275362,875.0,31.1741724431496,20.548364755319266,20.548027965894857,1.5171120823655653,68.43767047426975
727,775.3333333333334,789.0,104.68679375319883,28.903331942919614,28.846088335832132,3.62196282283101,77.38607050730869
728,820.7297297297297,844.0,60.373678105901924,26.734872819176346,26.62218721183898,2.2582369669100197,73.10567392234992
729,851.3521126760563,867.0,36.7304987413746,18.21733867971468,18.11798632771944,2.0162384521222436,70.47612745260233
730,809.48,813.0,66.35869397951309,19.76722649344726,19.743927694075893,3.357005799549607,74.12165834856945
731,870.0289855072464,883.0,63.341487884139575,31.951249630353683,31.76540031920653,1.982441645223327,68.9632196162047
